OrderID,Date,Product,Region,Sales,Profit
2001,2/25/2023,Laptop,North,784,153
2002,6/16/2023,Laptop,South,1165,165
2003,4/15/2023,Laptop,North,820,169
2004,4/2/2023,Printer,North,1542,454
2005,6/20/2023,Mouse,East,1799,418
2006,4/6/2023,Laptop,East,98,21
2007,2/17/2023,Mouse,East,93,20
2008,6/17/2023,Mouse,West,1790,299
2009,6/3/2023,Printer,South,1477,379
2010,1/23/2023,Laptop,West,1369,235
2011,6/16/2023,Tablet,West,895,154
2012,2/5/2023,Monitor,East,241,50
2013,1/10/2023,Monitor,South,395,81
2014,4/19/2023,Mouse,East,1931,400
2015,5/18/2023,Tablet,North,507,109
2016,5/26/2023,Phone,South,386,85
2017,2/27/2023,Keyboard,East,618,182
2018,5/1/2023,Mouse,South,322,55
2019,6/25/2023,Phone,West,695,198
2020,5/11/2023,Mouse,South,1923,405
2021,2/19/2023,Tablet,East,331,41
2022,3/4/2023,Tablet,South,1663,208
2023,2/26/2023,Tablet,East,1497,327
2024,3/29/2023,Keyboard,West,1306,276
2025,3/26/2023,Tablet,East,1138,120
2026,4/25/2023,Laptop,North,1329,269
2027,1/2/2023,Keyboard,South,364,104
2028,1/14/2023,Mouse,West,1026,181
2029,4/29/2023,Monitor,East,1517,440
2030,2/18/2023,Monitor,North,1033,197
2031,1/14/2023,Keyboard,North,1640,364
2032,5/14/2023,Monitor,West,99,27
2033,1/10/2023,Keyboard,East,1264,282
2034,3/29/2023,Tablet,East,776,123
2035,5/9/2023,Phone,North,791,218
2036,4/18/2023,Monitor,East,803,239
2037,3/4/2023,Tablet,West,1529,161
2038,1/22/2023,Laptop,West,279,74
2039,3/1/2023,Charger,North,1971,224
2040,4/20/2023,Keyboard,North,1047,286
2041,5/23/2023,Printer,West,454,76
2042,2/8/2023,Tablet,North,718,201
2043,2/6/2023,Laptop,West,1708,449
2044,6/28/2023,Mouse,North,1735,220
2045,6/14/2023,Keyboard,South,147,28
2046,6/24/2023,Monitor,North,1438,270
2047,5/27/2023,Phone,West,372,110
2048,6/22/2023,Tablet,West,1314,306
2049,2/26/2023,Tablet,East,1518,376
2050,3/10/2023,Monitor,West,259,72
2051,4/12/2023,Laptop,West,1912,525
2052,4/20/2023,Keyboard,North,767,107
2053,2/22/2023,Tablet,East,1982,471
2054,2/18/2023,Keyboard,West,191,30
2055,3/7/2023,Phone,West,1830,494
2056,3/18/2023,Phone,South,1282,178
2057,3/20/2023,Monitor,East,1701,238
2058,6/24/2023,Keyboard,West,1033,121
2059,5/1/2023,Phone,North,1931,304
2060,6/23/2023,Charger,South,1966,339
2061,5/23/2023,Phone,East,236,56
2062,2/11/2023,Tablet,South,422,108
2063,3/29/2023,Mouse,East,1365,391
2064,3/23/2023,Printer,North,1658,172
2065,5/20/2023,Monitor,East,534,110
2066,3/6/2023,Laptop,North,1419,361
2067,5/29/2023,Mouse,North,1268,274
2068,1/20/2023,Charger,North,1879,397
2069,1/24/2023,Mouse,West,1685,184
2070,4/10/2023,Mouse,North,210,36
2071,2/23/2023,Monitor,South,1203,282
2072,6/9/2023,Mouse,South,611,143
2073,5/23/2023,Laptop,South,171,48
2074,6/17/2023,Tablet,North,1002,263
2075,3/24/2023,Keyboard,West,1232,170
2076,3/26/2023,Printer,East,1786,412
2077,5/29/2023,Tablet,West,1494,294
2078,1/10/2023,Phone,West,1780,480
2079,1/24/2023,Phone,West,361,50
2080,4/22/2023,Mouse,East,1588,446
2081,6/23/2023,Tablet,North,561,94
2082,4/21/2023,Monitor,West,825,151
2083,1/21/2023,Keyboard,East,1970,475
2084,1/13/2023,Tablet,South,505,105
2085,3/6/2023,Mouse,North,118,33
2086,6/12/2023,Mouse,North,745,86
2087,4/21/2023,Mouse,West,896,230
2088,3/17/2023,Monitor,South,162,23
2089,2/1/2023,Printer,North,308,66
2090,6/27/2023,Phone,West,856,222
2091,4/27/2023,Monitor,East,1402,357
2092,3/12/2023,Laptop,South,529,136
2093,3/10/2023,Monitor,North,778,140
2094,2/8/2023,Printer,North,841,213
2095,6/26/2023,Charger,North,76,20
2096,2/7/2023,Phone,West,1775,446
2097,1/27/2023,Monitor,North,683,93
2098,6/2/2023,Laptop,North,1388,230
2099,2/12/2023,Mouse,North,388,77
2100,1/24/2023,Charger,North,1619,414
2101,2/26/2023,Laptop,East,1368,170
2102,3/4/2023,Keyboard,South,1176,279
2103,1/20/2023,Charger,East,1560,294
2104,6/6/2023,Keyboard,North,429,113
2105,4/6/2023,Printer,North,1377,343
2106,4/23/2023,Monitor,North,509,142
2107,2/22/2023,Mouse,South,1964,378
2108,4/16/2023,Tablet,South,1243,142
2109,3/8/2023,Monitor,South,487,78
2110,1/28/2023,Charger,West,1386,348
2111,2/20/2023,Laptop,South,755,221
2112,1/14/2023,Charger,East,383,52
2113,5/21/2023,Monitor,West,1291,243
2114,6/10/2023,Monitor,East,1801,382
2115,2/27/2023,Keyboard,South,610,140
2116,2/11/2023,Keyboard,South,1378,278
2117,4/16/2023,Laptop,West,477,78
2118,3/4/2023,Tablet,South,1512,217
2119,6/2/2023,Mouse,East,1786,369
2120,2/3/2023,Printer,South,542,157
